,school,Gender,age,famsize,Pstatus,Unnamed: 5,StudyTime,failures,Unnamed: 8,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,Math,Science,English,Marks,Total
278,GP,F,18,GT3,T,,2,1,,2,4,4,1,1,4,15,9,8,8,83,68,63,214,214
282,GP,F,18,LE3,T,,4,0,,5,2,2,1,1,3,1,12,12,12,71,85,92,248,248
283,GP,F,18,GT3,T,,2,0,,5,4,4,1,1,4,4,8,9,10,94,41,41,176,176
284,GP,F,17,GT3,T,,2,0,,5,4,5,1,2,5,4,10,9,11,43,90,52,185,185
286,GP,F,18,GT3,T,,3,0,,4,3,3,1,2,2,5,18,18,19,50,74,82,206,206
287,GP,F,17,GT3,T,,3,0,,4,3,3,1,1,3,6,13,12,12,95,62,87,244,244
291,GP,F,17,GT3,T,,3,0,,4,2,2,1,2,3,0,15,15,15,63,68,96,227,227
292,GP,F,18,LE3,T,,2,1,,5,4,3,1,1,5,12,12,12,13,44,65,62,171,171
293,GP,F,17,LE3,T,,4,0,,3,1,2,1,1,3,6,18,18,18,91,49,94,234,234
296,GP,F,19,GT3,T,,2,0,,2,3,4,2,3,2,0,10,9,0,61,90,50,201,201
297,GP,F,18,LE3,T,,2,0,,4,4,5,1,2,2,10,10,8,8,50,80,93,223,223
298,GP,F,18,GT3,T,,4,0,,4,3,3,1,1,3,0,14,13,14,87,46,55,188,188
300,GP,F,18,LE3,A,,2,0,,4,2,4,1,1,4,14,12,10,11,72,97,43,212,212
302,GP,F,17,GT3,T,,3,0,,4,3,3,1,1,3,0,15,12,14,99,89,43,231,231
303,GP,F,17,GT3,T,,4,0,,5,2,2,1,2,5,0,17,17,18,98,84,95,277,277
305,GP,F,18,GT3,T,,2,1,,4,4,3,1,1,3,8,14,12,12,55,68,42,165,165
309,GP,F,19,LE3,T,,2,1,,4,4,3,1,3,3,18,12,10,10,99,60,68,227,227
310,GP,F,19,LE3,T,,2,1,,4,2,4,2,2,3,0,9,9,0,98,96,71,265,265
311,GP,F,19,GT3,T,,2,0,,3,4,1,1,1,2,20,14,12,13,75,75,89,239,239
313,GP,F,19,LE3,T,,2,1,,4,2,2,1,2,1,22,13,10,11,65,76,90,231,231
314,GP,F,19,GT3,T,,3,2,,4,1,2,1,1,3,14,15,13,13,42,48,58,148,148
315,GP,F,19,GT3,T,,3,1,,4,1,2,1,1,3,40,13,11,11,58,63,60,181,181
316,GP,F,18,GT3,T,,2,0,,5,3,3,1,2,1,0,8,8,0,59,74,44,177,177
317,GP,F,18,GT3,T,,3,0,,4,3,4,1,1,5,9,9,10,9,71,88,57,216,216
318,GP,F,17,GT3,T,,3,0,,4,3,4,2,5,5,0,11,11,10,46,74,67,187,187
319,GP,F,18,GT3,T,,2,0,,4,4,4,3,3,5,2,11,11,11,91,87,81,259,259
320,GP,F,17,GT3,A,,2,0,,5,2,2,1,2,5,23,13,13,13,80,75,61,216,216
321,GP,F,17,GT3,T,,2,0,,4,2,2,1,1,3,12,11,9,9,72,57,60,189,189
322,GP,F,17,LE3,T,,3,0,,3,3,2,2,2,3,3,11,11,11,79,88,45,212,212
323,GP,F,17,GT3,T,,3,0,,3,4,3,2,3,5,1,12,14,15,78,78,40,196,196
324,GP,F,17,LE3,T,,3,0,,3,3,3,2,3,2,0,16,15,15,57,71,44,172,172
328,GP,F,17,GT3,T,,3,0,,5,4,4,1,3,4,7,10,9,9,67,76,85,228,228
329,GP,F,17,GT3,T,,3,0,,4,3,3,1,2,4,4,14,14,14,96,51,73,220,220
331,GP,F,17,GT3,T,,3,0,,4,4,3,1,1,5,7,12,14,14,89,94,53,236,236
332,GP,F,18,GT3,T,,2,0,,5,3,4,1,1,4,0,7,0,0,62,52,65,179,179
333,GP,F,18,LE3,T,,2,0,,4,3,3,1,1,2,0,8,8,0,70,62,84,216,216
334,GP,F,18,GT3,T,,4,0,,4,4,4,1,1,4,0,10,9,0,69,64,66,199,199
335,GP,F,17,GT3,T,,3,0,,4,4,5,1,3,5,16,16,15,15,81,74,48,203,203
336,GP,F,19,GT3,A,,3,1,,5,4,3,1,2,5,12,14,13,13,74,80,65,219,219
337,GP,F,17,GT3,T,,2,0,,4,3,2,2,3,2,0,7,8,0,46,69,96,211,211
338,GP,F,18,LE3,T,,4,0,,5,3,3,1,1,1,7,16,15,17,99,56,86,241,241
339,GP,F,17,GT3,A,,2,0,,4,3,3,2,3,2,4,9,10,10,55,88,96,239,239
340,GP,F,19,GT3,T,,3,1,,4,3,4,1,3,3,4,11,12,11,65,59,61,185,185
343,GP,F,17,GT3,A,,2,1,,3,3,1,1,2,4,0,9,8,0,91,61,69,221,221
344,GP,F,18,GT3,T,,3,0,,4,3,3,1,2,3,4,11,10,10,99,52,82,233,233
345,GP,F,18,GT3,T,,3,0,,5,4,3,2,3,1,7,13,13,14,88,98,87,273,273
348,GP,F,17,GT3,T,,3,0,,4,4,3,1,3,4,0,13,15,15,87,75,75,237,237
355,MS,F,18,GT3,T,,2,0,,5,3,4,1,1,5,0,10,9,9,48,67,86,201,201
356,MS,F,17,GT3,T,,2,0,,4,3,3,1,2,5,4,12,13,13,80,53,95,228,228
357,MS,F,17,LE3,A,,2,0,,1,2,3,1,2,5,2,12,12,11,74,70,61,205,205
359,MS,F,18,LE3,T,,3,0,,5,3,2,1,1,4,0,18,16,16,87,58,65,210,210
360,MS,F,18,LE3,A,,2,0,,4,3,4,1,4,5,0,13,13,13,55,97,67,219,219
362,MS,F,18,GT3,T,,2,0,,4,3,2,1,3,3,0,11,11,10,59,55,53,167,167
363,MS,F,17,LE3,T,,2,0,,2,3,4,1,1,1,0,16,15,15,63,92,63,218,218
364,MS,F,17,GT3,T,,2,0,,3,2,2,1,2,3,0,12,11,12,93,44,41,178,178
367,MS,F,17,GT3,T,,1,1,,5,2,1,1,2,1,0,7,6,0,63,64,53,180,180
368,MS,F,18,GT3,T,,1,0,,5,2,3,1,2,4,0,11,10,10,91,91,98,280,280
369,MS,F,18,GT3,T,,2,0,,3,2,2,4,2,5,10,14,12,11,50,98,95,243,243
370,MS,F,19,LE3,T,,2,2,,3,2,2,1,1,3,4,7,7,9,88,60,90,238,238
372,MS,F,17,GT3,T,,3,0,,3,4,3,1,1,3,8,13,11,11,75,92,42,209,209
373,MS,F,17,GT3,T,,1,0,,3,5,5,1,3,1,14,6,5,5,77,62,86,225,225
374,MS,F,18,LE3,T,,3,0,,5,4,4,1,1,1,0,19,18,19,79,55,62,196,196
375,MS,F,18,GT3,T,,3,0,,4,3,2,1,2,4,2,8,8,10,59,96,85,240,240
376,MS,F,20,GT3,T,,3,2,,5,4,3,1,1,3,4,15,14,15,74,78,82,234,234
377,MS,F,18,LE3,T,,2,0,,5,4,3,3,4,2,4,8,9,10,87,84,86,257,257
378,MS,F,18,GT3,T,,2,0,,4,1,3,1,2,1,0,15,15,15,64,92,99,255,255
379,MS,F,17,GT3,T,,2,0,,4,5,4,2,3,1,17,10,10,10,74,81,84,239,239
385,MS,F,18,GT3,T,,3,0,,5,3,3,1,3,4,2,10,9,10,41,44,54,139,139
386,MS,F,18,GT3,T,,1,0,,4,4,3,2,2,5,7,6,5,6,93,74,64,231,231
387,MS,F,19,GT3,T,,3,1,,5,4,2,1,2,5,0,7,5,0,74,62,94,230,230
388,MS,F,18,LE3,T,,2,0,,4,3,4,1,1,1,0,7,9,8,55,68,76,199,199
389,MS,F,18,GT3,T,,2,1,,1,1,1,1,1,5,0,6,5,0,80,82,67,229,229
5,GP,M,16,LE3,T,,2,0,,5,4,2,1,2,5,10,15,15,15,47,46,46,139,139
6,GP,M,16,LE3,T,,2,0,,4,4,4,1,1,3,0,12,12,11,60,42,85,187,187
8,GP,M,15,LE3,A,,2,0,,4,2,2,1,1,1,0,16,18,19,97,72,79,248,248
9,GP,M,15,GT3,T,,2,0,,5,5,1,1,1,5,0,14,15,15,58,87,81,226,226
12,GP,M,15,LE3,T,,1,0,,4,3,3,1,3,5,2,14,14,14,50,90,66,206,206
13,GP,M,15,GT3,T,,2,0,,5,4,3,1,2,3,2,10,10,11,63,61,20,144,144
14,GP,M,15,GT3,A,,3,0,,4,5,2,1,1,3,0,14,16,16,92,94,41,227,227
18,GP,M,17,GT3,T,,1,3,,5,5,5,2,4,5,16,6,5,5,42,77,77,196,196
19,GP,M,16,LE3,T,,1,0,,3,1,3,1,3,5,4,8,10,10,61,77,58,196,196
20,GP,M,15,GT3,T,,2,0,,4,4,1,1,1,1,0,13,14,15,92,84,47,223,223
21,GP,M,15,GT3,T,,1,0,,5,4,2,1,1,5,0,12,15,15,41,90,87,218,218
22,GP,M,16,LE3,T,,2,0,,4,5,1,1,3,5,2,15,15,16,63,93,84,240,240
23,GP,M,16,LE3,T,,2,0,,5,4,4,2,4,5,0,13,13,12,83,47,40,170,170
26,GP,M,15,GT3,T,,1,0,,4,2,2,1,2,5,2,12,12,11,41,73,56,170,170
27,GP,M,15,GT3,T,,1,0,,2,2,4,2,4,1,4,15,16,15,99,60,46,205,205
28,GP,M,16,LE3,A,,2,0,,5,3,3,1,1,5,4,11,11,11,60,69,64,193,193
29,GP,M,16,GT3,T,,2,0,,4,4,5,5,5,5,16,10,12,11,72,72,84,228,228
30,GP,M,15,GT3,T,,2,0,,5,4,2,3,4,5,0,9,11,12,51,67,43,161,161
31,GP,M,15,GT3,T,,2,0,,4,3,1,1,1,5,0,17,16,17,97,86,75,258,258
32,GP,M,15,GT3,T,,2,0,,4,5,2,1,1,5,0,17,16,16,61,72,45,178,178
33,GP,M,15,LE3,T,,2,0,,5,3,2,1,1,2,0,8,10,12,83,44,99,226,226
34,GP,M,16,GT3,T,,1,0,,5,4,3,1,1,5,0,12,14,15,64,99,70,233,233
36,GP,M,15,LE3,T,,3,0,,5,4,3,1,1,4,2,15,16,18,66,58,2,126,126
37,GP,M,16,GT3,A,,3,0,,2,4,3,1,1,5,7,15,16,15,98,43,93,234,234
41,GP,M,15,LE3,T,,1,0,,5,4,3,2,4,5,8,12,12,12,55,83,65,203,203
42,GP,M,15,GT3,T,,2,0,,4,3,3,1,1,5,2,19,18,18,54,67,58,179,179
43,GP,M,15,GT3,T,,1,0,,5,4,1,1,1,1,0,8,8,11,86,69,78,233,233
47,GP,M,16,GT3,T,,4,0,,4,2,2,1,1,2,4,19,19,20,91,45,89,225,225
48,GP,M,15,GT3,T,,2,0,,4,3,3,2,2,5,2,15,15,14,96,74,67,237,237
52,GP,M,15,LE3,A,,1,1,,5,5,5,3,4,5,6,11,11,10,46,63,47,156,156
57,GP,M,15,GT3,T,,2,0,,3,2,2,1,1,5,4,14,15,15,43,70,52,165,165
58,GP,M,15,LE3,T,,2,0,,4,3,2,1,1,5,2,9,10,9,64,74,67,205,205
66,GP,M,15,GT3,A,,4,0,,1,3,3,5,5,3,4,13,13,12,41,42,92,175,175
70,GP,M,16,GT3,T,,4,0,,4,3,2,1,1,5,0,13,15,15,99,70,84,253,253
71,GP,M,15,GT3,T,,4,0,,3,3,3,1,1,3,0,10,10,10,46,93,71,210,210
73,GP,M,16,GT3,T,,1,0,,5,3,2,2,2,5,2,12,12,14,47,42,86,175,175
75,GP,M,15,GT3,T,,2,0,,4,3,3,2,3,5,6,9,9,10,74,85,55,214,214
76,GP,M,15,GT3,T,,4,0,,3,4,3,1,1,1,8,11,11,10,53,63,93,209,209
78,GP,M,17,GT3,T,,1,3,,4,5,1,1,1,3,2,8,8,10,75,71,50,196,196
80,GP,M,15,GT3,T,,1,0,,3,2,2,1,3,3,2,10,12,12,79,61,76,216,216
81,GP,M,15,GT3,T,,3,0,,5,3,2,1,2,5,4,11,10,11,43,62,75,180,180
83,GP,M,15,LE3,T,,2,0,,5,3,3,1,3,4,4,15,15,15,45,66,58,169,169
88,GP,M,16,GT3,T,,2,1,,4,4,2,1,1,3,12,11,10,10,68,79,80,227,227
89,GP,M,16,LE3,A,,2,0,,4,1,3,3,5,5,18,8,6,7,57,72,88,217,217
94,GP,M,15,LE3,T,,4,0,,4,3,4,1,1,4,6,11,13,14,75,78,92,245,245
96,GP,M,16,GT3,T,,1,0,,3,3,3,1,1,4,2,11,15,15,70,81,93,244,244
100,GP,M,16,GT3,T,,1,0,,4,5,5,5,5,4,14,7,7,5,53,89,96,238,238
101,GP,M,16,GT3,T,,3,0,,4,4,3,1,1,4,0,16,17,17,62,64,50,176,176
102,GP,M,15,GT3,T,,1,0,,5,3,3,1,1,5,4,10,13,14,99,63,51,213,213
104,GP,M,15,GT3,A,,2,0,,5,4,4,1,1,1,0,16,18,18,79,99,71,249,249
107,GP,M,16,GT3,T,,3,0,,5,3,3,1,1,5,2,16,18,18,84,96,77,257,257
108,GP,M,15,GT3,T,,4,0,,1,3,5,3,5,1,6,10,13,13,57,75,51,183,183
110,GP,M,15,LE3,A,,1,0,,5,5,3,1,1,4,6,18,19,19,92,59,67,218,218
113,GP,M,15,LE3,T,,1,0,,3,5,2,1,1,3,10,18,19,19,64,85,97,246,246
114,GP,M,15,GT3,T,,2,0,,5,4,2,1,1,5,8,9,9,9,99,55,67,221,221
115,GP,M,16,GT3,T,,2,0,,5,4,4,1,2,5,2,15,15,16,99,53,75,227,227
116,GP,M,15,GT3,T,,2,0,,4,4,3,1,1,2,2,11,13,14,99,51,65,215,215
117,GP,M,16,GT3,T,,1,0,,5,4,2,1,1,5,0,13,14,13,84,90,47,221,221
118,GP,M,17,GT3,T,,2,1,,5,2,4,1,4,5,20,9,7,8,80,62,97,239,239
119,GP,M,15,GT3,T,,1,0,,3,4,3,1,2,4,6,14,13,13,68,54,99,221,221
121,GP,M,15,GT3,T,,4,0,,5,5,4,1,2,5,6,16,14,15,84,73,67,224,224
123,GP,M,16,GT3,T,,1,0,,3,4,4,1,4,5,18,14,11,13,64,71,76,211,211
