,0
88,echo work well abl sync amazon music devic
89,work great think amazon charg anoth cent unlimit music prime buy echo
90,alreadi echo dot echo even better fuller sound also setup let phone call made contact list great
91,speaker sound realli good
92,good sound work well
93,love alexa savvi support help patient
94,love think get one prime day discount offer could pass fun ask alexa play song group come playlist amazon prime music also connect iphon bluetooth play music pandora youtub video use alexa speaker fun ask alexa differ type question inform like weather news even time countri downsid limit data wifi plan alexa use burn play music
95,like far lot tri yet
96,love use strictli music great
97,love echo love size materi speaker qualiti hook one light easili work addit light thermostat next echo dot bedroom lot echo think traffic weather trivia etc
98,love
99,entir famili love alexa echo part famili
100,great fun get know function product wow famili fun homework help talk grandchildren also echo huge bonu wait learn
101,love
102,awesom thing love alexa
103,work exactli expect speaker great sound perfect classroom
104,love love new littl gadget made live much easier like person secretari live home hardli need cd anymor sinc alexa play everyth need go get alexa dot soon room thank
105,speaker surpris qualiti happi purchas
106,easi set work wonder love
107,realli impress sound qualiti play music devic bass sound almost like come bigger speaker prop amazon
108,still great product sound qualiti seem wors get wrong definit get use within hour definit feel like echo gen sound qualiti better besid great addit abl play bluetooth wifi even better
109,outlet work disappoint
110,great devic respons help
111,sound terribl u want good music get bose
112,like sound troubl paid extra money access million song sometim work ex alexa play italian song understand play opera tosca respons sorri
113,easi set use bad plug would nice take outsid oper batteri recharg
114,still learn way use real hit grandkid ask play music danc yr cute
115,star gener like product great ask like play music set timer make call reason rate sometim connect die echo stop play music show red ring seem connect issu overal great product
116,work great upgrad echo dot full size echo happier
117,alexa els say
118,upgrad lilttl echo dot happi sound
119,excel product set eas well
120,first gen echo sinc first came work well purchas nd gen prime day far happi seem improv speaker provid enhanc sound music
121,love echo smart speaker love volum clariti easi set wonder gift age
122,wonder product fast deliveri
123,initi harder set call tech knowledg work great
124,easi set famili love
125,great sound respons voic command
126,live long without echo get enjoy music style ask alexa go gread wireless love echo love alexa
127,cool product speaker sound good spotifi blast
128,much fun alexa love abl listen music across room busi someth els
129,far seem nice item pick voic understand without problem day ask turn music next room heard fine use listen music check weather done thing well
130,love echo
131,love help use rememb thing sleep ask anyth week still learn
132,better st gen everi way except one realli miss ring top volum control quicker easier grab top twist without look button find one press time also wish bass bit better great devic happi
133,love alexa
134,far like
135,thoroughli enjoy ecoo love read audiobook offic simpli open audiobook kindl continu elsewher wonder listen music mood book great set remind much
136,still love
137,love
138,love sound qualiti unit clear sound
139,listen talk radio morn turn light etc system excel job full hous sound system stream siriu
140,week still learn alexa learn process love music call time listen podcast radio station start keep shop list groceri list love search paper pencil get time temperatur great wait weather report sound good fussi woofer tweeter base etc echo fine afternoon go tri drop son get home go surpris
141,much featur
142,great sound qualiti great featur great product multi room music cool
143,cool
144,everyon echo two three bought echo qvc
145,annoy everyth show alexa abl download spend much time tri figur phrase machin may well look
146,alexa sinc begin accident spill water replac nd gener decid without echo setup easi work within minut
147,like abl tell alexia music want hear sometim troubl find song specif titl
148,like look better origin echo move old echo basement famili room nice sound
149,echo wonder still learn use music request somewhat limit
150,know half thing ask recogn sprinkler wifi control even though product detail say compat program chang wifi thermostat set match wifi router handi music player amazon music
151,love
152,awesom understand kid
153,pleasantli surpris sound qualiti mani featur nice easili hear particular artist hear book simpl command look forward explor option devic
154,met exceed expect easi set realli quick respons
155,like fact get kind music prime want request alexa like inform photo littl pamphlet wish includ connect tv etc command alexa realli love music
156,found way access echo thorough prime account think part top line video music etc also think setup app defin exampl music like well integr echo tri ask playlist echo sure even though set play list set also like fact word exact match playlist name never rememb like readi natur echo respond queri
157,great item ad audibl book make even better thank
158,prime day nd gen echo sale resist begin smart home set happier say alexa done amaz job connect smart devic thank control light smart plug tv etc troubl connect echo wifi phone app work perfectli fine let add skill routin smart devic timer much sound qualiti good enough sinc audiophil alexa hear voic even watch movi high volum design great modern definit add nice touch home chang cover like sale overal great addit home enabl mani possibl yet sure add alexa home
159,versatil fun
160,work great killer speaker wife son love
161,regret wait long purchas item surpris pleas sound qualiti
162,stop work week follow command realli fun work
163,far love work get thing set love groceri list app
164,perform pretti much expect disappoint provid terminolog need play variou kind music without subscrib amazon music servic understand music choic may limit without know ask cannot access music provid free along echo purchas chart show languag need use
165,easi set
166,like product except speaker high qualiti expect
167,great invest alexa help made laugh
168,yet anoth exho home love
169,love plan gender music big band jazz easi find local radio sound good stop voic command get phone call
170,good valu
171,super easi set love new echo
172,what like speaker ask alexa
173,best father day gift dad joke mom alexa one listen repeat stori go forward
174,great addit breakfast room kitchen tune inform instantli avail slowli learn featur
175,sound qualiti
176,sad joke worthless
177,entertain
178,good qualiti
179,work great sound great miss beat wish batteri better portabl
180,love till someon stole afford replac yet go
181,alexa rock
182,got gift love never would bought one allow play music amozon prime music worth also give new brief tell joke
183,
184,mom bought echo dot repeat ask take one great told two day made take hour later could live life without amaz four larg speaker small echo dot return say go order alexa speaker go big get echo otherwis tou return two echo dot live without
185,love great product
186,easi set user friendli
187,realli disappoint alexa plug wall socket time fault check made assumpt compani technolog advanc amazon would sell product recharg batteri could return would appl music boom speaker give flexibl alexa
188,think nd gen sound good st aux could add extern speaker go get dot nd issu uniqu unit understand overrid default prevent play blue tooth speaker play group get delay use bt speaker unit heard abl play group use bt speaker
189,everyth
190,like interact ask question like ask setup schedul connect lamp
191,supberb sound definit worth extra money listen lot music
192,realli love amazon echo think sound qualiti great lot fun realli handi music get updat weather sport
193,love grandkid
194,far work well alway intuit link differ devic skill get hang
195,work advertis
196,love
197,love new addit hous speaker qualiti great love alexa two complaint suggest futur seri would better commun abil exampl smart light hous unless specifi kitchen light kitchen light prior command either respond say recogn may want alexa respond say thank afterward repeat alexa thank time respond husband know sound odd laugh mayb southern thing want alexa manner
198,like everyth music trivia game weather
199,describ receiv time like automat enrol music
200,great devic
201,own echo overa year new lack easi way increas decreas volum without tell increas decreas volum hard wife sinc english second languag born korea sound echo superb keep
202,love kitchen work well
203,nice impress wish say though
204,love product nice easi access much info
205,got great sound bass work time still hot miss recogn thing
206,still discov echo
207,amaz paroduct
208,good hear rang sound qualiti bit complic set quit understand lot even speak slowli clearli love flash brief featur interfac abod home secur system
209,speaker sound good
210,absolut love
211,best part product control thermostat light hous anyth dislik
212,thoroughli enjoy amazon echo instal easi use alexa app purchas kasa smart plug control live room light instal easi use kasa app sinqu right echo enjoy play music echo sound qualiti awesom ad kasa smart bulb kitchen setup seamless look forward ad autom home
213,home entertain
214,cool product easi setup fun use sound qualiti much better anticip
215,love great sound easi connect use
216,work fairli new smart tv mainli tv manufactur lg fault due support anyth older tv year smart lock also need addit piec equip order connect well speaker sound great work well
217,great sound littl speaker
218,enjoy
219,
220,cool
221,good qualiti great sound qualiti
222,work perfectli
223,great product sometim alexa understand command fire tv fabul speaker
224,love echo great sound smart
225,sure love
226,play great
227,work absolut great
228,amaz product great sound qualiti
229,best thing invest thank much
230,extrem impress item bought warehous outlet minor imperfect tell even one work great come packag seal damag miss anyth like sound qualiti see knock bose great famili easi use minor learn curv learn voic integr seamlessli amazon servic wait get classroom lot fun even speaker let alon plan
231,love echo show bedroom wonder music info sleep sound
232,awesom life changer serious abl start morn alexa wake alarm play music gotten use voic anoth room listen say love echo hesit get one price speaker unbeliev buy cordless holder take echo anywher love purchas love alexa
233,super impress alexa prime laps play anyth smart enough differenti among spotifi account use either randomli speak nobodi talk today unplug sure ever use alexa
234,like everyth
235,like
236,never issu buy use electron long get good like new read comment see use
237,famili realli love new echo
238,bought wife love
239,fun got today pod go car use hous
240,like
241,third echo worth everi penni like household employe small flat rate keep bedroom live room drop use intercom listen music answer quick question alarm wake school etc
242,listen music set timer
243,receiv echo perfect condit devic easi set respond quickli without issu alexa great addit famili
244,good sound like music schedul like get random thought record think joke cute
245,purchas begin learn far pleas amaz differ action perform enjoy look forward learn option provid
246,echo great other even though smaller
247,funni buy someth look fun wind total use part home love
248,bought replac dot live room speaker slightli better hear better tv unfortun understand respond request well dot frequent request time get want dot usual exactli want first request consid upgrad
249,good experi far second gener echo mani thing learn time yet right mostli enjoy music weather updat use alarm featur person also purchas mini smart socket ye excit begin use
250,troubl connect tv exactli tech smart sure one grandson figur far use mostli music
251,simpli love echo hardli watch tv anymor busi listen music speaker pretti goo size fun skill realli make echo fun whole famili
252,enjoy entir echo experi
253,easi set
254,echo amaz devic mani time seem intuit time ask someth seem clear simpl get result instal fairli straightforward mess sever time simpli thought step complet actual made lose ground figur advic patient app let know move next step biggest issu moment sever echo devic home would like use intercom told done howev make echo awar other exist ask alexa answer instruct chang name know like fault would think design would anticip make easier find need instruct small deal mani devic savvi peopl challeng
255,love much
256,origin alexa tap far nd gener best happi see make improv new one would great updat littl think would help lot bug happi play music throughout whole hous adjust bass trebl thank
257,pleas echo nd gener nice alexa avail music weather news probabl lot discov
258,pleasantli surpris sound qualiti echo big fan deep bass might suffici though potenti control home option explor evolv home smart home voic recognit impress stylish fun regret purchas great technic chang peopl ask play song movi respond instantli elderli love one would great gift connect wifi simpl use want unlimit music control sure amazon prime premium spotifi blown away person dj even convers echo embarrass say echo made laugh coupl time ask tell joke tell packag sinc amazon prime addict come extrem handi
259,easi setup love thing
260,alexa throughout hous futur arriv
261,alreadi alexa amazon find today could resist get echo also best thing ever use side hous happier
262,arriv expect
263,bought week ago everyth product excel forget buy charger order must take outsid pool worri hire electrician put outlet yard
264,terrif
265,love echo
266,smaller origin look nicer
267,work great
268,husband would call late adopt come technolog decid would tri echo serv primarili music sourc wow amaz great sound also great time listen favorit song buy ask alexa may even buy one elderli dad think enjoy one listen music even place call us
269,realli enjoy chang directv channel play iheartradio pandora adjust ac thermostat turn live room light outsid light
270,want one bought prime day absolut love
271,glad got echo bluetooth speaker alexa much stuff non smart speaker person love timer featur help cook multipl thing simultan pandora integr anoth featur use daili happi prime day purchas get echo hub echo dot futur
272,see subject line love
273,love
274,easi setup
275,hesit buy echo echo dot seem good enough echo except sound qualiti realli feel need howev glad got differ sound realli far superior echo dot listen greatest showman littl power
276,sound qualiti great still learn differ thing fun
277,got good deal work great prime setup bit pain fault crappi internet servic work great nice sound small speaker
278,love
279,work great perfect offic
280,love one insid hous one pool good bose speaker around hous
281,easi use amaz
282,nice product
283,love echo total amaz speaker qualiti bum buy two sinc got prime day
284,respons great sound qualiti size
285,effici amaz cool use often everi day
286,impress qualiti sound echo definit compar bose mini gave star use appl music account
287,technolog small devic price good sound amaz must featur home
288,mainli use music learn time realli noth bad say
289,replac st gen concern smaller unit sound wrong anyth volum clear good product
290,great addit echo plu
291,best
292,love featur play music everi room multipl echo
293,love alexa surpris much use
294,use product enjoy love
295,easi use great sound great purchas great price
296,easi set issu
297,unit add much pleasur echo plu music inform home one room
298,extrem use simpl thing like spotifi audibl thing like sometim answer everyth ask still nice use
299,difficult set keep time enter password
300,get use use echo use shop list listen music timer work great far
301,cool lot fun use week still learn capabl
302,love love
303,love hard time set app
304,use offic anoth apart music inform
305,great music littl hard figur work
306,given year time birthday gift dad love ask alexa anyth answer plu good homework purchas one prime day bathroom get readi work listen music base metro boom replac clock radio plu echo dot night stand alarm clock
307,impress look clariti sound color
308,alexa amaz great speaker
309,still get use alexa connect tv yet thing right use music inform great
310,work sound great hous bare sf sit kitchen counter hear speak room lot function still discov
311,pure fun echo weather joke news brief music still much use lot fun money
312,use time especi commun kid throughout home
313,love still learn make lot thing easier like forget turn light anoth room ask alexa turn light
314,bought daughter turn love especi like call featur sinc cell phone love play music danc amazon music play favorit song sometim lol
315,got wed gift discov featur yet updat play music great though
316,impress sound qualiti
317,pleas purchas echo smart speaker love fact play music differ genr whenev want troubl first wi fi work
318,wife enjoy eas play music game fun entertain look forward ad smart product home
319,second echo love help kitchen set timer listen news prepar groceri list get great music
320,sound qualiti good wish alexa could answer question
321,second echo dot speaker weak purchas listen music speaker great
322,great sound
323,great
324,realli use speaker stream music month kinda useless
325,set user friendli set user friendli hope alexa app abl download pc without instal invas driver wife retir abl instal alexa son suppli smart phone use alexa yet
326,easi set realli enjoy
327,echo come built batteri plug time use make quit inconveni
328,compact bit better origin
329,love pretti cool
330,live room music sound realli good live room hear upstair
331,great product set easi sound wonder
332,far like bought music though sound pretti good
333,love
334,love
335,glad bought
336,like type fun music
337,like volum top turn quickli
338,beyond capabl program grandkid lve
339,love new echo give hour music help thing difficult set help tekki
340,almost good bose love whole hous music
341,alexa hardli came
342,easi setup use app also easi instal phone sound qualiti listen music pandora wonder
343,still learn use echo far love
344,work awesom
345,work great
346,small speaker sound great
347,great sound size prize cours alexa
348,echo definit need one
349,great devic seem work better st gener
350,item longer work month use connect wifi unrespons reset request
351,love echo dot easi fun get drop grandaught live mile away sound like right next
352,work great differ new one
353,one go kitchen timer music duti
354,love volum could definit use boost better built speaker would definit star thought ahead put audio auxiliari input bought dedic speaker echo prove best way go
355,work fine
356,work great look brand new love new echo dot get main room hous
357,refurbish item work like new love easi set love issu volum listen relax fine expect anyth els recommend purchas speaker
358,loud
359,nd one love
360,sure feel echo dot mani thing need get use ask right question understand
361,thing bare work select rd parti app stuff think could box send mine back asap wast money
362,gift man like plug pictur show cord would prefer cordless still work though purpos bought
363,th amazon echo devic purchas refurbish satisfi time differ tell brand new price cheaper echo wake us keep timer play music us act encyclopedia turn light much
364,small echo dot amaz sound come great chang nest thermostat phillip hue light without leav chair
365,talk time song dislik devic
366,never disappoint amazon technolog
367,work promis
368,return echo dot get refund return one packag want refund packag see
369,work
370,weird paus speech pattern present echo devic
371,sure love alexa lol thank great price product
372,work
373,echo fan one work
374,
375,bought bathroom listen shower love
376,alway respond spoken promp word thought would connect echo upstair use like intercom abl
377,fast ship work well
378,love
379,love love love new free assist
380,six word alexa tell poop joke
381,work month stop tri everyth tri make work noth work want refund
382,poor qualiti gave away
383,refurbish way go echo work like new
384,love
385,five need say
386,speaker arent loud alexa great though besid naw
387,work great sound good
388,never could get work techi friend look said adapt strong enough power look like bought dollar store go replac adapt hope work
389,almost like star trek home fun tri outsmart
390,add echo system refurbish product work like new
391,great offic use daili mani way includ spell background music
392,awesom love alexa
393,sure realli want one extrem use get one love
394,initi echo dot work well time dot stop respond alexa unless within one foot yell echo echo dot room would respond without respons echo dot would recommend buy refurbish
395,great product fast ship
396,bought echo dot refurbish stop whatev function perform quit often wake everi time randomli turn noth buy refurbish echo dot
397,perfect work great problem refurbish
398,dont trust
399,perfect condit love echo
400,love beauti experi especi hook smart light accessori
401,got within last coupl week tell issu son want alexa th birthday could tell joke could ask question listen music enjoy one much bought second one week prime deal day
402,divertido
403,great product work great
404,bought guest room radio alarm clock inform center much
405,great buy bought go echo love speaker best music work great kitchen timer alarm
406,
407,work perfect save buck buy refurbish look brand new
408,look work perfect glad got good deal
409,good new one bought less
410,love work well
411,everyth perfect
412,good price prompt ship work flawlessli
413,love alexa
414,room improv price cannot complain much still complain howev audio terribl kind like listen speak n spell
415,iov bought son want awesom
416,echo work price great deal issu dot speaker bit tinni good second unit like attach extern speaker sound good buy
417,thank
418,want use radio intercom get terribl fm recept live speech recognit softwar horribl wife nativ american whose languag english north texa neither accent birth area yet good job understand us bought two thing addit wifi recept poor margin buy wifi rang extend offic ten feet router problem switch around differ disconnect dust collector
419,third dot work perfectli use one multipl time day absolut love
420,item never work box broken spent sever day tri get work run fix amazon thing accomplish never order anoth refurbish devic
421,alreadi echo plu bought one bedroom love function
422,simpl set music everywher
423,work like brand new dot satisfi
424,great product return new alexa dot refurbish alreadi give problem connect
425,echo alreadi went one refurbish save buck work great love new gener one rubber bottom nice
426,love fact unplug take basement want laundri
427,refurbish good new one bought
428,good new
429,granddaught love
430,price great troubl hear across room move anoth spot seem work fine buy want everi room
431,set alexa blue tooth speaker enjoy listen music outdoor wait tri new stuff use alexa
432,thank
433,work great
434,never buy certifi refurbish echo dot bought certifi refurbish echo dot unit poor receiv command sometim even acknowledg command never buy refurbish echo dot unit receiv probabl never certifi refurbish indic also bought new echo dot work perfectli disappoint
435,start amazon productsand regret noth absolut great journey product continu improv day day life
436,use sever month without problem
437,first smart devic sure buy devic compat one
438,love
439,love good new one
440,larger echo time love bought one anoth portion hous sinc sever wifi home devic want voic control hous
441,love product use turn light answer quick question
442,great buy
443,leari refurbish work great
444,puni sound work great
445,great
446,exactli like new tell differ new dot got prior one work perfectli love alexa
447,work perfect wear tear devic love alexa work make home smart
448,work good
449,thing like shut work great
450,excel product mint condit refurbish unit would never know refurbish
451,alreadi own coupl echo frustrat also use intercom final amazon enabl drop featur use echo reach famili remot part hous teenag insist never heard yell come dinner featur mainli use echo standard stuff play music set alarm answer question etc life chang home devic amazon would believ conveni around refurb save buck look work brand new one
452,love worri refurbish part first first echo awesom use everyth light sinc work night shop well spotifi plan get parent help everyday thing take grant young would recommend everyon
453,love alexa hope everi room soon
454,simplic use set
455,great got one gazebo one upstair
456,work great never issu
457,everyth ask
458,work great good sound
459,use echo listen music well sort research tool answer varieti question would like volum could go littl bit louder complain also believ intern power sourc order use echo must plug time use univers charg cord would nice use echo dot go without buy product
460,love great fun
461,love
462,outstand use time work like say
463,save alway nice son alway say buy refurbish mean get new devic product less run diagnost everyth correct
464,work perfectli alexa turn light tv roomba
465,never would know refurbish
466,far good
467,look perform new complaint
468,goe great echo
469,work great like new one alreadi
470,item work certifi refurbish mean work advertis instead item crash soon turn plug tri connect phone echo dot crash would disconnect orang light would freez thing would reboot blue light alexa would tell readi connect freez mid sentenc tri hold action button second anyth return immedi hope actual fix item next buyer purchas
471,fast servic got order thank
472,love even though still tri figur thing item work great phone
473,echo one bought brand new refurbish one honestli tell differ perform look
474,great product learn work thing awesom
475,work
476,work time
477,love though wish portabl
478,cours
479,could tell refurbish work excel would highli recommend instead purchas new
480,got mom love
481,love echo dot look brand new work perfect satisfi
482,new
483,small problem box rep amazon call walk reset process solv issu shock get respons quickli real effort made includ follow email get thing work one googl clone use learn like also plan instal one car boat garag alexa new best friend lol think gf worri alexa learn cook time limit
484,love alexa dot play game son ask weather love work amazon fire tv
485,like could ask differ question differ thing work intermitt smart tv ask chang volum sometim ask chang channel sometim reset know refurbish okay expect
486,far certifi refurbish echo dot work well littl confus green ring echo dot know ask alexa said receiv call drop case took minut figur notif deliveri amazon believ ring suppos yellow pulsat messag notif refurbish echo dot green puls
487,arriv quickli easi set refurbish amazon echo dot beyond expect alexa becom buddi great assist
488,work advertis speak clearli research command also get wall holder keep way set breez make sure close devic initi connect phone reason made set easier though could psycholog haha
489,love two echo dot third one order give gift defect speaker return process still done alreadi taken week
490,alreadi return
491,refurbish echo wonder purchas mother love abil contact without phone listen music weather ask question wonder gift work excel problem
492,work good howev price went week purchas
493,work amazingli bought daughter love
494,love alexa great help make appoint play song like els look forward
495,got bathroom love listen music whe shower
496,dot origin new one work perfectli buy futur dot recondit
497,littl hard get pare other problem
498,weari pick convers activ use heard happen news concern wish amazon would releas someth widespread push firmwar prevent heard yet
499,realli dislik alexa dot thought cortna cool alexa awesom applic famili unbeliev devic seem aliv must get
500,happi refurbish echo dot two week far work perfectli even though come origin box look like new happi purchas
501,thumb
502,workreat
503,someth wrong first one even rep spoke could fix replac regist someon els price dot went price refurbish one bought brand spank new one problem new one
504,work expect
505,problem
506,almost everi room realli enjoy work perfectli
507,purchas grandson
508,like new
509,happi order
510,love dot especi abil talk one realli conveni issu refurbish like new
511,start take use sinc unplug day one talk daughter lay bed next start go movi moana complet scare sh daughter
512,work great speaker sound fine overal would recommend
513,great like new
514,love price essenti brand new dot open realli tell refurbish everyth look brand new less new unit consid better deal realli love versatil echo dot get one
515,pleas order want
516,think throughout hous conveni set timer check weather whatev wherev
517,love best experi refurbish devic excel
518,love echo dot
519,refurbish item fine awar fee echo set room howev miss cordthank
520,two week set longer work connect light sound guess purchas refurbish dot
521,work like brandnew unit great addit collect
522,great price work perfectli save money refurb would buy
523,
524,god
525,good
526,great bought one bought anoth right away grab smart switch set smart home capabl highli recommend
527,like new
528,work still need figur link devic though set sono pretti easi product fault time figur
529,use
530,worst amazon purchas made big amazon fan love brand unlimit digit music prime video even buy onlin game music movi amazon app tri use make simpl purchas anyth useless
531,work well microphon pick well full size echo audio qualiti okay size
532,bought two refurbish one work home work perfectli appear brand new
533,amazon disappoint
534,work great bt receiv output connect vintag stereo equip
535,work great far tell new edit longev year real test
536,amaz
537,love everyth
538,use dot work fine compliment echo
539,work like new one tell differ new one bough refurbish one
540,well big fan echo one went bathroom work great expect
541,purchas year old mother love talk alexa respons detect name room
542,like new perform brand new one problem
543,echo dot disconnect speaker time day buy refurbish product star effort
544,love great product
545,work good satisfi
546,love alexa sound dot best echo nd gen kitchen live room got bedroom signific differ sound dot lack full base sound sound come cheap portabl speaker realli disappoint return right away shell money buy second echo bedroom also
547,took awhil get connect electron savi love
548,cant seem get thing sink wireless sure return tri one time
549,absolut love
550,product stop work return time ran
551,second dot work great refurbishedthought new
552,love guy work great
553,love second alexa bedroom great check weather medit music timer perfect husband use eye drop multipl time day keep eye close minut
554,purchas refurbish work like brand new minut set easi echo dot command start play music backyard deck sound system
555,substitut origin echo dot perform well sound qualiti poor listen highest level
556,love echo dot help husband get netflix app amazon fire tv problem refurbish plan get anoth one amazon fire stick bedroom
557,stop work month warranti good month would assum amazon product sold amazon would higher standard guarante would work whole month mean product suppos piec junk offer discount want buy anoth one would want buy anoth one
558,like new problem whatsoev alexa thank
559,like uncl sometim goe littl haywir
560,bought son work return
561,bought quit connect wifi respond voic within month hard soft reset fix problem
562,receiv echo dot today good condit advis paid amazon write rais price research buy get good deal set dot went simpl enough plug follow app instruct except initi took actual show iphon wifi set call amazon custom servic dunno late get terribl support guy took call rambl complet unhelp script end set dot middl spiel sure norm refurbish dot pretti finicki wifi rang randomli disconnect even though app show rang ghz connect strong reconnect pain time well said alexa work work amazingli well speaker hook one thing realli enjoy mic rang sensit one annoy limit appl siri play audio devic speaker music podcast etc hey siri featur useless alexa problem hear whatev play time amazingli fast respons tri louder speaker yet sure continu hold true set alexa control wireless devic breez albeit limit support arlo devic nil special set led devic eg rainbow effect alexa handl know chang solid color bright level rate would lower gotten decent price item connect problem persist may exchang return item want though alexa kind grow
563,bought everyon say much love need use volum loud enough play music treadmil rather use tower speaker xs louder
564,work like new
565,second one refurbish model work least home
566,bad devic know refurbish activ nobodi talk activ start talk talk yell super laud
567,good new like brand new save money get one
568,ad room conveni
569,nice work good time easi recogn voic repeat sever time time almost scream
570,took chanc certifi refurbish unit look brand new excus disappoint minut troubl free set effortless bluetooth speaker connect alexa app iphon flawless listen favorit tune bose bluetooth setup happier walk door ask alexa play music viola instant atmospher open ipad go set turn bluetooth access pandora app make thing effortless true joy right box discov use fine piec technolog worth everi penni
571,alexa sister second dot
572,love alexa echo dot two one new one refurbish work great becom go sooo mani thing love alarm everi morn whenev love play music sound ocean natur sound tri sleep love mani thing
573,bought refurb work new one bought prior came origin packag well
574,love like second wife
575,far impress save group correctli understand time sure excit alexa voic sound like water suppos understand go return tri googl home
576,work well obviou issu refurbish
577,work great tell refurbish set kid mode home ad love thing
578,great product useless overal mani unnecessari featur unless smart home need
579,work good two new echo dot precious purchas
580,bought mother love love guard dog featur say give sens secur night leav hous
581,bought mainli speaker play music video phone work read instruct work
582,work
583,bought two work great much electron run home alexa want need done
584,nd one come
585,blue light blink time
586,fun use still learn new trick use function futur human comput interfac household autom like star trek knew would soon
587,work great control tv light variou devic late use wake know time want open eye shout alexa time could figur get hous hold chore walk dog golden sound great size expect echo plu much better audio get larger expens echo
588,work great
589,sure like product littl want one everi room daughter constantli ask alexa spell word bare tap thing product capabl look forward learn capabl
590,
591,great product work well
592,absolutli love
593,bought first echo dot love got work absolut love
594,work promis
595,work great exist smart home setup
596,perfect could tell differ new one
597,cant figur use
598,good sometim hear well
599,littl apprehens buy refurbish electron product amazon guarante thought would tri glad probabl buy anoth refurb product form amazon love alexa product sever one sit desk small footprint great sound use daili work great
600,bad bad speaker sound
